amount,hour_of_day,merchant_risk,device_trusted,international,card_present,transactions_last_24h,account_age_days,fraud
252.33558799621187,0,High,Y,No,Yes,4,671,0
250.74272502013542,9,High,Yes,No,Yes,3,1863,1
-415.9185186,3,Medium,Yes,No,Yes,6,1104,0
684.7757905670296,6,Medium,Yes,No,No,,75,0
67.50686891,14,Low,Yes,No,Yes,5,1968,0
269.9861724636655,15,,N,Yes,No,1,808,0
225.78783795551092,14,High,Yes,Yes,No,3,582,1
-204.6869241,15,High,Y,Yes,Yes,2,1254,1
586.1523218892671,22,Medium,No,No,No,3,52,0
172.4069728289488,7,High,Y,Yes,Yes,1,349,0
-179.8897132,4,Medium,No,No,Yes,2,1285,0
206.6870606975761,7,High,Yes,Yes,No,4,,1
76.54695088198645,15,High,No,No,,5,865,0
574.2558901365743,5,Medium,No,No,No,4,381,0
209.4152642660761,2,Low,Yes,No,Yes,3,400,0
253.5474134,15,Medium,Y,Yes,No,2,270,1
191.5301890885143,13,High,Yes,No,No,6,,0
269.30502894702977,0,Medium,Yes,Yes,Yes,3,771,0
30.14503594277586,0,High,No,Yes,No,3,1418,0
114.87879959973024,23,Low,No,Yes,No,2,1575,0
184.57084370503566,4,High,No,No,Yes,5,801,0
165.21572769799556,12,High,No,No,No,3,1755,0
-65.48160795,18,High,Y,No,No,4,866,0
-67.93607259,18,High,No,No,No,2,1812,0
196.43382515217377,18,,Yes,Yes,No,4,1313,0
355.18196452357404,4,Low,Yes,Yes,No,7,1549,0
261.90953629406715,9,Medium,No,Yes,No,4,902,0
413.77404924962775,2,Medium,Yes,Yes,Yes,4,233,0
504.49227605712133,17,High,No,No,,8,1194,0
108.47970262104299,12,Low,Yes,Yes,Yes,5,1440,0
-337.0474155,16,Low,Y,No,Yes,3,1593,0
122.71247679914003,6,,N,Yes,Yes,,1385,0
661.1216695429566,18,Medium,No,Yes,No,2,352,1
166.37885024806553,21,Medium,Yes,Yes,No,4,1016,0
-267.9188384,10,Medium,Y,Yes,Yes,2,1871,1
215.22498058512298,12,Medium,Yes,Yes,Yes,4,1923,0
79.28808198976539,16,High,Yes,Yes,Yes,4,1827,1
470.93180016644015,17,Medium,No,Yes,Yes,3,438,1
116.74674955505127,23,High,No,No,No,4,806,0
486.4118699605326,7,Medium,Yes,No,No,3,936,0
