amount,hour_of_day,merchant_risk,device_trusted,international,card_present,transactions_last_24h,account_age_days,fraud
210.96,20,high,No,Yes,Yes,3,904,1
111.67,21,high,Yes,No,Yes,5,465,0
24.09,18,medium,No,No,No,4,431,0
179.5,20,medium,Yes,No,No,4,1606,0
93.83,10,low,Yes,Yes,No,3,1831,0
330.09,19,medium,No,No,Yes,6,404,1
114.53,17,medium,No,No,Yes,1,1432,0
92.56,17,medium,No,Yes,Yes,3,65,0
108.78,11,low,Yes,No,Yes,4,2018,0
134.65,6,low,Yes,Yes,Yes,3,1556,1
461.05,13,low,No,No,No,0,520,1
41.75,8,medium,Yes,No,No,1,2061,0
21.26,12,medium,Yes,No,No,2,543,0
337.71,21,high,Yes,No,Yes,2,172,1
178.54,18,low,No,No,No,4,1867,0
259.61,20,low,Yes,No,Yes,4,1291,0
64.57,7,medium,Yes,No,Yes,2,1228,0
61.18,9,low,Yes,No,No,1,1467,0
30.83,8,medium,Yes,Yes,No,4,1127,0
224.9,15,high,No,No,Yes,2,651,1
137.05,19,high,Yes,No,Yes,3,712,0
310.75,8,low,Yes,Yes,Yes,3,820,1
62.09,8,low,Yes,No,Yes,8,1013,0
201.39,0,medium,Yes,No,No,2,649,0
271.6,15,medium,Yes,No,Yes,4,587,0
116.77,22,high,No,Yes,No,5,366,1
108.69,6,high,No,No,Yes,5,1230,1
165.97,2,medium,Yes,No,No,5,1990,0
334.66,17,medium,Yes,No,No,3,918,0
209.32,13,high,No,No,Yes,2,1485,0
397.77,20,high,Yes,No,No,6,1302,1
115.76,12,medium,Yes,No,Yes,2,698,0
201.86,14,medium,Yes,Yes,No,2,2340,0
220.85,2,high,No,No,Yes,5,1787,0
347.09,9,low,Yes,No,No,2,1878,0
53.16,1,medium,Yes,No,Yes,4,88,0
295.33,23,low,No,Yes,No,3,1646,1
436.32,1,medium,Yes,No,Yes,3,1035,1
75.6,5,low,Yes,No,Yes,3,121,0
6.0,10,medium,Yes,No,Yes,2,919,0
695.83,6,high,Yes,No,Yes,3,1066,1
227.94,9,medium,No,No,No,3,1491,1
174.34,10,low,No,No,No,2,1110,0
544.42,13,low,No,Yes,Yes,2,164,1
464.19,3,high,Yes,No,Yes,5,215,1
30.33,4,high,No,No,No,2,1628,0
239.77,3,medium,No,No,Yes,4,2302,1
182.89,11,low,Yes,No,No,1,859,0
118.0,12,medium,No,Yes,No,2,278,1
145.15,17,low,No,No,No,2,1400,0
351.91,3,medium,No,No,Yes,2,266,1
123.53,7,medium,No,No,Yes,4,477,0
400.32,14,medium,Yes,No,No,4,306,1
156.96,8,medium,Yes,No,No,3,2180,0
202.71,23,low,No,No,Yes,3,1725,1
24.62,19,low,Yes,Yes,Yes,2,1621,1
166.33,21,low,No,No,Yes,3,248,0
326.63,4,low,Yes,No,No,6,875,0
41.01,19,low,Yes,No,No,3,1292,0
170.36,15,medium,No,No,No,2,1887,0
62.17,19,medium,Yes,No,Yes,3,1196,0
165.76,2,medium,Yes,No,No,3,89,0
322.92,5,high,Yes,Yes,Yes,2,346,1
222.28,6,low,Yes,No,No,3,1311,0
230.31,1,medium,Yes,No,Yes,2,1237,0
156.98,19,high,Yes,No,Yes,5,1294,0
292.12,1,medium,No,No,Yes,5,1617,1
261.81,16,medium,No,No,No,3,714,1
149.29,21,medium,Yes,No,Yes,1,171,0
182.17,4,medium,Yes,No,No,0,2247,1
50.29,13,low,Yes,No,No,4,203,0
499.46,9,medium,No,Yes,Yes,3,2070,1
215.97,6,medium,No,No,Yes,5,519,0
114.23,23,low,Yes,Yes,Yes,4,560,0
61.02,15,low,Yes,No,Yes,1,216,0
322.86,21,high,Yes,No,No,6,2144,0
110.25,0,high,Yes,No,No,4,446,1
195.75,18,medium,Yes,No,Yes,3,676,1
146.41,20,low,Yes,No,No,2,1413,0
66.54,20,medium,Yes,Yes,No,5,762,1
308.47,5,high,No,Yes,Yes,2,1100,1
256.26,1,high,Yes,No,Yes,1,1558,1
150.71,7,medium,Yes,Yes,No,3,2207,1
80.74,14,medium,Yes,No,Yes,0,459,0
25.64,23,medium,Yes,Yes,Yes,1,1739,0
383.46,2,medium,No,No,Yes,3,2246,0
278.05,23,high,Yes,No,Yes,5,50,0
152.85,2,medium,Yes,No,No,2,317,0
138.49,1,low,Yes,No,Yes,6,1580,0
249.67,9,low,Yes,Yes,Yes,3,826,1
217.92,7,high,No,Yes,Yes,2,1194,1
329.07,8,medium,Yes,No,No,6,1471,1
62.32,5,high,Yes,Yes,Yes,4,1109,1
439.5,2,medium,Yes,Yes,Yes,3,1415,1
258.31,20,high,No,No,No,3,1489,1
305.57,2,low,Yes,No,Yes,4,971,0
42.63,14,low,Yes,No,Yes,6,1587,0
50.52,17,low,Yes,No,No,2,1023,0
181.46,10,high,Yes,No,No,2,1150,1
20.06,21,low,No,No,No,4,1095,0
281.49,1,low,Yes,No,Yes,0,100,0
312.31,12,medium,Yes,No,Yes,3,354,0
161.08,1,high,Yes,No,No,1,1708,0
407.56,5,high,Yes,No,Yes,4,793,1
179.69,19,low,Yes,Yes,Yes,5,1582,0
55.89,12,high,No,No,No,5,1446,0
69.07,22,medium,Yes,Yes,No,6,967,1
98.85,20,high,Yes,No,No,3,2011,1
182.3,13,medium,Yes,No,Yes,5,1194,0
314.01,22,medium,Yes,No,Yes,2,2280,0
645.78,13,medium,No,Yes,Yes,1,1158,1
206.38,1,high,Yes,No,Yes,4,1094,1
268.4,12,medium,Yes,No,No,6,325,1
275.43,9,medium,No,Yes,Yes,0,241,1
136.68,3,low,Yes,No,Yes,5,1631,0
352.38,2,medium,Yes,No,No,2,1623,0
745.52,21,low,Yes,No,No,7,163,0
46.07,10,medium,No,Yes,Yes,1,1626,1
70.23,3,medium,Yes,No,Yes,2,387,0
196.29,12,high,Yes,No,Yes,4,820,0
119.49,6,medium,No,No,No,7,1482,1
196.26,19,high,Yes,No,No,2,268,1
164.15,23,low,Yes,Yes,Yes,3,887,1
257.47,3,medium,Yes,Yes,No,6,2069,1
361.29,10,high,Yes,No,No,2,953,1
427.77,12,low,Yes,No,Yes,3,1141,0
255.09,14,low,Yes,No,Yes,2,2064,0
334.13,11,high,Yes,No,No,3,754,1
186.84,21,high,Yes,Yes,Yes,6,2219,1
133.67,19,medium,Yes,No,Yes,6,490,0
399.42,18,medium,No,Yes,Yes,6,343,1
81.73,23,medium,Yes,No,Yes,2,1523,0
191.56,3,high,Yes,No,No,4,1103,1
230.85,6,low,Yes,No,Yes,4,60,0
252.1,23,low,Yes,No,No,5,136,1
207.07,6,medium,Yes,No,Yes,4,426,0
103.86,18,low,No,No,Yes,3,255,0
41.59,7,low,No,No,Yes,5,1590,0
124.52,16,medium,Yes,No,No,6,245,0
279.6,8,high,Yes,No,No,2,1623,1
110.03,14,high,Yes,No,Yes,2,2079,0
244.44,8,medium,Yes,No,No,3,589,1
310.16,2,low,Yes,No,Yes,8,965,1
371.34,6,high,Yes,No,Yes,3,1089,1
152.22,17,high,Yes,No,No,1,746,0
94.13,7,high,No,No,Yes,7,641,0
460.49,4,medium,Yes,No,Yes,2,619,1
123.11,18,high,Yes,No,Yes,4,1017,0
66.98,13,medium,No,No,Yes,4,1136,0
354.77,8,medium,Yes,No,No,1,924,1
212.94,15,low,Yes,Yes,Yes,3,1797,1
468.48,3,low,Yes,Yes,Yes,4,1331,1
115.93,1,high,No,No,Yes,0,1426,1
230.41,3,high,No,Yes,Yes,5,1497,1
238.17,22,low,Yes,No,No,2,554,1
279.63,3,high,Yes,Yes,No,3,285,1
48.13,3,low,Yes,No,Yes,2,2192,0
117.49,19,medium,Yes,No,No,0,158,0
351.25,9,medium,No,No,No,3,715,1
363.76,4,low,No,No,No,4,1155,1
181.41,4,high,No,No,No,5,1533,1
402.56,17,high,Yes,No,No,1,1641,1
247.04,19,low,Yes,No,Yes,1,983,0
404.68,11,low,No,No,Yes,1,784,0
180.09,8,high,Yes,No,No,3,698,1
132.43,2,medium,Yes,No,Yes,6,1665,0
195.13,8,medium,Yes,No,Yes,6,154,1
46.12,14,low,Yes,No,No,6,1991,0
75.83,0,low,Yes,No,Yes,5,1089,1
697.02,11,low,Yes,No,Yes,4,1201,0
324.86,10,medium,Yes,No,No,5,423,0
65.9,15,high,Yes,Yes,No,2,337,1
139.49,22,low,Yes,No,No,5,794,0
306.56,10,low,Yes,No,No,2,905,0
119.18,16,medium,Yes,Yes,Yes,3,1924,0
402.96,22,low,No,No,Yes,5,1398,1
278.81,19,medium,Yes,Yes,Yes,5,419,0
164.48,22,low,No,No,No,6,2349,0
88.87,14,high,Yes,No,Yes,3,228,0
216.53,17,high,Yes,Yes,Yes,5,1331,1
379.9,19,medium,Yes,No,No,9,1766,1
61.74,14,low,Yes,No,Yes,2,1915,0
256.79,12,high,No,No,Yes,2,1194,0
